locality,region,pop,proper
elizabeth,nj,134283,Elizabeth
elmwood-park,nj,21233,Elmwood Park
englewood,nj,29034,Englewood
fair-lawn,nj,35279,Fair Lawn
fort-lee,nj,39688,Fort Lee
garfield,nj,32412,Garfield
glassboro,nj,23600,Glassboro
hackensack,nj,45633,Hackensack
hoboken,nj,57703,Hoboken
jersey-city,nj,286670,Jersey City
kearny,nj,39862,Kearny
linden,nj,43352,Linden
lindenwold,nj,21595,Lindenwold
lodi,nj,25786,Lodi
long-branch,nj,32434,Long Branch
millville,nj,27308,Millville
morristown,nj,20339,Morristown
new-brunswick,nj,55998,New Brunswick
newark,nj,305344,Newark
north-plainfield,nj,22637,North Plainfield
palisades-park,nj,20106,Palisades Park
paramus,nj,26359,Paramus
passaic,nj,69128,Passaic
paterson,nj,156661,Paterson
perth-amboy,nj,55357,Perth Amboy
plainfield,nj,54513,Plainfield
pleasantville,nj,20662,Pleasantville
princeton,nj,30377,Princeton
rahway,nj,29693,Rahway
ridgewood,nj,26168,Ridgewood
roselle,nj,22327,Roselle
sayreville,nj,45123,Sayreville
secaucus,nj,21108,Secaucus
south-plainfield,nj,24228,South Plainfield
summit,nj,22342,Summit
trenton,nj,89661,Trenton
union-city,nj,65366,Union City
vineland,nj,60491,Vineland
west-new-york,nj,51981,West New York
westfield,nj,30539,Westfield
alamogordo,nm,31309,Alamogordo
albuquerque,nm,561008,Albuquerque
carlsbad,nm,31612,Carlsbad
clovis,nm,37902,Clovis
farmington,nm,46127,Farmington
gallup,nm,20932,Gallup
hobbs,nm,39648,Hobbs
las-cruces,nm,113888,Las Cruces
rio-rancho,nm,108082,Rio Rancho
roswell,nm,47390,Roswell
santa-fe,nm,89008,Santa Fe
albany,ny,100826,Albany
auburn,ny,26081,Auburn
binghamton,ny,47115,Binghamton
buffalo,ny,276486,Buffalo
elmira,ny,25852,Elmira
freeport,ny,43886,Freeport
garden-city,ny,22891,Garden City
glen-cove,ny,27997,Glen Cove
harrison,ny,29369,Harrison
hempstead,ny,58331,Hempstead
ithaca,ny,32870,Ithaca
jamestown,ny,28243,Jamestown
kingston,ny,23916,Kingston
kiryas-joel,ny,38998,Kiryas Joel
lindenhurst,ny,27064,Lindenhurst
lockport,ny,20602,Lockport
long-beach,ny,34604,Long Beach
lynbrook,ny,20128,Lynbrook
middletown,ny,30207,Middletown
mineola,ny,21225,Mineola
mount-vernon,ny,71714,Mount Vernon
new-rochelle,ny,82288,New Rochelle
new-york,ny,8335897,New York
newburgh,ny,28501,Newburgh
niagara-falls,ny,47993,Niagara Falls
north-tonawanda,ny,30235,North Tonawanda
ossining,ny,26633,Ossining
peekskill,ny,25514,Peekskill
port-chester,ny,30823,Port Chester
poughkeepsie,ny,32010,Poughkeepsie
rochester,ny,209352,Rochester
rockville-centre,ny,25662,Rockville Centre
rome,ny,31735,Rome
saratoga-springs,ny,28593,Saratoga Springs
schenectady,ny,68809,Schenectady
spring-valley,ny,32884,Spring Valley
syracuse,ny,144451,Syracuse
troy,ny,50895,Troy
utica,ny,64081,Utica
valley-stream,ny,40115,Valley Stream
watertown,ny,24451,Watertown
white-plains,ny,59316,White Plains
yonkers,ny,208121,Yonkers
apex,nc,71065,Apex
asheboro,nc,27482,Asheboro
asheville,nc,93776,Asheville
burlington,nc,59287,Burlington
carrboro,nc,21298,Carrboro
cary,nc,180388,Cary
chapel-hill,nc,62098,Chapel Hill
